gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening
CD177,3.87584554928468,2.48598899253441e-67,Up_in_Sepsis,6,6,1,0.877121384781303,0.925507749766573,0.546031746031746,1,5,5,5,5,TRUE,1,0.968697175385071,0.747826086956522,1,0.980194515483167,1,0.950802517207316,TRUE
VNN1,2.44147115405792,8.79728227732833e-68,Up_in_Sepsis,6,6,1,0.900885251051325,0.922775723622783,0.73015873015873,1,6,5,5,6,TRUE,1,1,1,0.57053252825288,0.992021935574677,1,0.9347820727954,TRUE
TDRD9,2.77020264723908,4.36545470168418e-68,Up_in_Sepsis,6,6,1,0.899277883518923,0.958818860877684,0.619047619047619,0.993761140819965,5,5,5,5,FALSE,1,0.997882703791261,0.847826086956522,0.668958353288504,1,0,0.876882477174132,TRUE
ARG1,2.96799600844903,3.8950600938975e-49,Up_in_Sepsis,6,6,1,0.873161088311294,0.946093909191583,0.519047619047619,1,5,5,5,5,TRUE,1,0.963480496229618,0.710869565217391,0.728179861320076,0.503191824536287,1,0.855220745303134,TRUE
RNASE3,1.92926146407912,3.80464404487471e-42,Up_in_Sepsis,6,6,1,0.88477401518277,0.881407656395892,0.715873015873016,0.988571428571428,6,5,5,6,TRUE,1,0.978777561487993,0.980434782608695,0.417171312874523,0.319946394196008,1,0.835268822188482,TRUE
IRAK3,1.90641732505035,6.39159430993327e-53,Up_in_Sepsis,6,6,1,0.860573831336622,0.928907641196013,0.6,1,5,4,4,5,TRUE,1,0.946899999900272,0.821739130434782,0.410331526368592,0.602417346209997,1,0.829122333111587,TRUE
TNFAIP6,1.76402121273908,6.42631484489184e-51,Up_in_Sepsis,6,6,1,0.8524114191225,0.906528239202658,0.639122315592904,0.992533333333333,4,4,4,6,TRUE,1,0.936148106455401,0.875319693094629,0.367696564015355,0.54992342549757,1,0.822289213052875,TRUE
TCN1,2.47802732192581,2.08383897092082e-54,Up_in_Sepsis,6,6,1,0.882187077208144,0.903408776844071,0.623015873015873,1,5,5,5,5,FALSE,1,0.975369931399972,0.853260869565217,0.581477847022673,0.641394032355995,0,0.821961190143775,TRUE
RETN,2.93775303488657,4.34731144002101e-55,Up_in_Sepsis,6,6,1,0.870650183418446,0.928073949579832,0.53015873015873,0.997142857142857,5,5,5,5,FALSE,1,0.960173020308298,0.726086956521739,0.719124782369136,0.659237861277393,0,0.82075745305386,TRUE
NLRC4,1.46650230785803,3.81696835772079e-50,Up_in_Sepsis,6,6,1,0.870019194880207,0.899632866479926,0.626984126984127,0.998217468805704,5,5,5,5,TRUE,1,0.959341854061102,0.858695652173913,0.27861613124868,0.529638530854226,1,0.811363176817142,TRUE
FAM20A,1.99754320410777,2.54442860795524e-44,Up_in_Sepsis,6,6,1,0.865241495668035,0.909712722298222,0.593650793650794,0.996533333333333,5,5,4,5,TRUE,1,0.953048455554219,0.81304347826087,0.437615616923859,0.376959212732646,1,0.81120932221724,TRUE
HP,2.32884845126288,2.03989452413032e-45,Up_in_Sepsis,6,6,1,0.858716299336272,0.918632558139535,0.519047619047619,1,5,5,4,5,TRUE,1,0.944453175896009,0.710869565217391,0.536812052210036,0.405691622702126,1,0.811057357653129,TRUE
S100P,2.17525040045097,1.45916124891237e-53,Up_in_Sepsis,6,6,1,0.868796147521729,0.934310520487265,0.665079365079365,0.998217468805704,4,4,4,5,FALSE,1,0.95773080152768,0.910869565217391,0.490823106250743,0.619235142065057,0,0.80949665538503,TRUE
MMP9,2.54435747370295,2.44874858019166e-41,Up_in_Sepsis,6,6,1,0.8353830166692,0.899584717607973,0.558730158730159,0.991466666666667,4,4,4,5,TRUE,1,0.913717535208648,0.765217391304348,0.601337824082447,0.298747248937956,1,0.808973267764409,TRUE
TLR5,1.5448299919184,4.80092378110691e-49,Up_in_Sepsis,6,6,1,0.855156279885692,0.921638095238095,0.637721755368814,0.997142857142857,4,4,4,5,TRUE,1,0.939763759484513,0.873401534526854,0.302068301444382,0.500811121694466,1,0.808330715410486,TRUE
GRB10,2.07194776774077,2.65724186329183e-56,Up_in_Sepsis,6,6,1,0.876233125864863,0.927558761348091,0.604761904761905,1,5,5,4,5,FALSE,1,0.967527121120416,0.828260869565217,0.459893161710108,0.691058716560364,0,0.80258711268346,TRUE
LILRA6,1.05165146612825,2.03133307189849e-46,Up_in_Sepsis,6,6,1,0.877272955599905,0.891283846872082,0.704761904761905,0.989304812834224,6,5,4,6,TRUE,1,0.968896831228003,0.965217391304348,0.154405225962904,0.431955628098301,1,0.801808004768319,TRUE
