gene_symbol,GSE137340,GSE236713,GSE54514,GSE57065,GSE65682,GSE95233
VNN1,0.833887043189369,0.966933333333334,0.73015873015873,0.995714285714286,0.878618113912232,1
RNASE3,0.865448504983389,0.8912,0.715873015873016,0.988571428571428,0.871615312791784,0.975935828877005
LILRA6,0.799003322259136,0.988,0.704761904761905,0.958571428571428,0.823996265172736,0.989304812834224
C3AR1,0.875415282392027,0.9488,0.714285714285714,0.924285714285714,0.69281045751634,0.990196078431372
WFDC1,0.926910299003322,0.9832,0.562698412698413,0.804285714285714,0.879084967320262,0.896613190730838
EMILIN2,0.888704318936877,0.872266666666667,0.552380952380952,0.962857142857143,0.790382819794585,0.927807486631016
OLAH,0.782392026578073,0.9728,0.555555555555555,0.961428571428571,0.776844070961719,0.967023172905526
RAB31,0.880398671096345,0.92,0.630952380952381,0.964285714285714,0.818860877684408,0.97415329768271
FAM20A,0.848837209302326,0.996533333333333,0.593650793650794,0.992857142857143,0.788982259570495,0.970588235294118
ADAM9,0.90531561461794,0.887733333333333,0.677777777777778,0.995714285714286,0.776377217553688,0.991087344028521
PGLYRP1,0.852159468438538,0.9592,0.565873015873016,0.995714285714286,0.757703081232493,0.994652406417112
VSIG4,0.89202657807309,0.9528,0.593650793650794,0.908571428571429,0.753968253968254,0.967914438502673
TCN1,0.870431893687708,0.9296,0.623015873015873,0.992857142857143,0.877217553688142,1
ANKRD22,0.872093023255814,0.958933333333333,0.571428571428571,0.982857142857143,0.793183940242764,1
TP53I3,0.875415282392027,0.9624,0.628571428571429,1,0.881419234360411,1
ZDHHC19,0.858803986710963,0.958133333333333,0.565079365079365,0.985714285714286,0.907563025210084,0.978609625668449
DAAM2,0.8421926910299,0.973066666666667,0.680952380952381,0.844285714285715,0.750233426704015,0.950980392156863
ATP8B4,0.920265780730897,0.883466666666667,0.601587301587302,0.922857142857142,0.896358543417367,0.983065953654189
UBE2C,0.808970099667774,0.988533333333334,0.585714285714286,0.964285714285714,0.948646125116714,0.934046345811052
CCNA1,0.8421926910299,0.910933333333333,0.587301587301587,0.962857142857143,0.906162464985995,0.989304812834225
FOLR3,0.878737541528239,0.925066666666667,0.632539682539683,0.812857142857143,0.765172735760971,0.92602495543672
HK3,0.832225913621263,0.909333333333333,0.561904761904762,0.998571428571429,0.824929971988796,1
CEP55,0.837209302325582,0.894133333333333,0.590476190476191,0.992857142857143,0.915032679738562,0.996434937611408
SIGLEC5,0.802325581395349,0.973333333333333,0.634920634920635,0.958571428571428,0.707749766573296,0.982174688057041
NDUFAF1,0.812292358803987,0.738666666666667,0.609523809523809,0.985714285714286,0.814659197012139,0.999108734402852
