gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening,selection_order
VNN1,2.44147115405792,8.79728227732833e-68,Up_in_Sepsis,6,6,1,0.900885251051325,0.922775723622783,0.73015873015873,1,6,5,5,6,TRUE,1,1,1,0.57053252825288,0.992021935574677,1,0.9347820727954,TRUE,1
RNASE3,1.92926146407912,3.80464404487471e-42,Up_in_Sepsis,6,6,1,0.88477401518277,0.881407656395892,0.715873015873016,0.988571428571428,6,5,5,6,TRUE,1,0.978777561487993,0.980434782608695,0.417171312874523,0.319946394196008,1,0.835268822188482,TRUE,2
LILRA6,1.05165146612825,2.03133307189849e-46,Up_in_Sepsis,6,6,1,0.877272955599905,0.891283846872082,0.704761904761905,0.989304812834224,6,5,4,6,TRUE,1,0.968896831228003,0.965217391304348,0.154405225962904,0.431955628098301,1,0.801808004768319,TRUE,3
C3AR1,1.40566245053667,1.74747951891379e-41,Up_in_Sepsis,6,6,1,0.857632207818528,0.89985049833887,0.69281045751634,0.990196078431372,5,4,4,6,TRUE,1,0.943025162193993,0.948849104859335,0.260400008741049,0.302588752092053,1,0.794553790907461,TRUE,4
WFDC1,1.88658834118647,6.08835196744804e-30,Up_in_Sepsis,6,6,1,0.842132097339758,0.88784907902555,0.562698412698413,0.9832,5,5,5,5,TRUE,1,0.922607725304061,0.770652173913043,0.4043945104851,0,1,0.75303932025094,TRUE,5
EMILIN2,0.990096145822539,5.19624420098353e-31,Up_in_Sepsis,6,6,1,0.832399897877873,0.880485492801772,0.552380952380952,0.962857142857143,5,5,4,5,TRUE,1,0.909788038077611,0.756521739130434,0.135974885967817,0.0280200561385374,1,0.709612910801875,TRUE,6
OLAH,2.49869216641562,4.62121478764895e-35,Up_in_Sepsis,6,6,1,0.836007232904907,0.871910299003322,0.555555555555555,0.9728,5,5,3,5,FALSE,1,0.914539780676877,0.760869565217391,0.587665128771859,0.134219811183312,0,0.740064119419782,TRUE,7
RAB31,0.744369145125778,1.46451510829669e-41,Up_in_Sepsis,6,6,1,0.86477515695026,0.900199335548173,0.630952380952381,0.97415329768271,5,5,5,5,FALSE,1,0.952434173394582,0.864130434782608,0.0624015190139556,0.304600006606763,0,0.705170045748536,TRUE,8
FAM20A,1.99754320410777,2.54442860795524e-44,Up_in_Sepsis,6,6,1,0.865241495668035,0.909712722298222,0.593650793650794,0.996533333333333,5,5,4,5,TRUE,1,0.953048455554219,0.81304347826087,0.437615616923859,0.376959212732646,1,0.81120932221724,TRUE,9
ADAM9,1.19538830528107,2.08731804572858e-43,Up_in_Sepsis,6,6,1,0.872334262170924,0.896524473975637,0.677777777777778,0.995714285714286,5,5,4,6,TRUE,1,0.962391363957751,0.928260869565217,0.197441616680215,0.352997722336589,1,0.792872554357799,TRUE,10
