gene_symbol,n_selected_folds,selection_frequency
CD177,6,1
TDRD9,6,1
LILRA6,4,0.666666666666667
RAB31,3,0.5
VNN1,3,0.5
ANKRD22,2,0.333333333333333
ARG1,2,0.333333333333333
C3AR1,2,0.333333333333333
RNASE3,2,0.333333333333333
WFDC1,2,0.333333333333333
C1QB,1,0.166666666666667
CD24,1,0.166666666666667
ELANE,1,0.166666666666667
LDHA,1,0.166666666666667
LTF,1,0.166666666666667
OLAH,1,0.166666666666667
OLFM4,1,0.166666666666667
PCOLCE2,1,0.166666666666667
PSMA6,1,0.166666666666667
RETN,1,0.166666666666667
SNX3,1,0.166666666666667
