dataset,expression_file,expression_file_name,expression_size_mb,expression_readable_preview,n_preview_rows,n_preview_cols,gene_col_guess,gene_col_used_for_detection,n_features_detected,n_numeric_sample_like_cols,expression_scale_guess,numeric_min,numeric_median,numeric_max,integer_like_fraction,negative_fraction,zero_fraction,known_platform,known_platform_type,platform_class,pheno_file,pheno_readable,pheno_n_rows,pheno_sample_id_col,pheno_group_col,n_expr_sample_cols,n_matched_samples_between_expr_and_pheno,n_total_inferred,n_sepsis,n_control,n_healthy,n_sirs,n_other_or_unknown,has_sepsis_control_contrast,has_sirs_or_clinical_mimic,group_values_collapsed,detected_target_genes,n_detected_target_genes,n_final10_detected,n_nested_recurrent_detected,RNAseq_validation_eligibility,exclusion_or_review_reason
GSE100159,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE100159_expr.csv,GSE100159_expr.csv,17.521,TRUE,120,48,V1,V1,48803,47,unknown_numeric_matrix,-21.6786,4.90465,36152.9922,0,0.275833333333333,0,,,unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE100159_pheno_harmonized.csv,TRUE,47,sample_id,clinical_group,47,47,47,47,12,0,0,0,TRUE,FALSE,Sepsis / Control; Sepsis / melioidosis; Sepsis / other infection; Sepsis / Recovery,"",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;target_genes_lt_7
GSE131761,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE131761_expr.csv,GSE131761_expr.csv,71.411,TRUE,120,130,V1,V1,34127,129,log2_or_log_normalized_likely,5.68508084275397,7.67376170662049,16.9104801723452,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE131761_pheno_harmonized.csv,TRUE,129,sample_id,clinical_group,129,129,129,0,0,0,0,129,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE134347,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE134347_expr.csv,GSE134347_expr.csv,239.505,TRUE,120,299,V1,V1,70523,298,log2_or_log_normalized_likely,1.200177603,7.723626762,12.92299075,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE134347_pheno_harmonized.csv,TRUE,298,sample_id,clinical_group,298,298,298,0,0,0,0,298,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE134358,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE134358_expr.csv,GSE134358_expr.csv,191.64,TRUE,120,568,V1,V1,36249,567,log2_or_log_normalized_likely,0.2615842,0.61084785,12.81568,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE134358_pheno_harmonized.csv,TRUE,567,sample_id,clinical_group,567,567,567,0,0,0,0,567,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE134364,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE134364_expr.csv,GSE134364_expr.csv,268.292,TRUE,120,335,V1,V1,70523,334,log2_or_log_normalized_likely,1.200177603,7.723626762,12.92299075,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE134364_pheno_harmonized.csv,TRUE,567,sample_id,clinical_group,334,0,567,0,0,0,0,567,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE137340,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/main_expr/GSE137340_main_expr.csv,GSE137340_main_expr.csv,29.714,TRUE,120,58,gene,gene,45023,57,log2_or_log_normalized_likely,4.173158877,4.9173241215,14.58503199,0,0,0,GPL10558,microarray_known,microarray_known,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/main_pheno/GSE137340_main_pheno.csv,TRUE,57,sample,V11,57,0,57,17,12,12,0,28,TRUE,FALSE,"Severe; Septic; Sepsis,; Day; Healthy"",Homo","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;target_genes_lt_7
GSE137342,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE137342_expr.csv,GSE137342_expr.csv,29.743,TRUE,120,58,V1,V1,45023,57,log2_or_log_normalized_likely,4.173158877,4.9173241215,14.58503199,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE137342_pheno_harmonized.csv,TRUE,10,sample_id,clinical_group,57,0,10,0,0,0,0,10,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;sample_size_lt_30_or_unknown;target_genes_lt_7
GSE13904,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE13904_expr.csv,GSE13904_expr.csv,120.293,TRUE,120,228,V1,V1,54675,227,log2_or_log_normalized_likely,0.08343659,1.00652425,4.3209057,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE13904_pheno_harmonized.csv,TRUE,227,sample_id,clinical_group,227,227,227,0,0,0,0,227,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE145227,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE145227_expr.csv,GSE145227_expr.csv,19.66,TRUE,120,23,V1,V1,95722,22,log2_or_log_normalized_likely,2.258929,3.9218515,13.04596,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE145227_pheno_harmonized.csv,TRUE,22,sample_id,clinical_group,22,22,22,0,0,0,0,22,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;sample_size_lt_30_or_unknown;target_genes_lt_7
GSE174507,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE174507_expr.csv,GSE174507_expr.csv,0.608,TRUE,120,19,V1,V1,2570,18,centered_or_batch_adjusted_log_matrix_likely,-4.719506559,-3.800361538,12.79403628,0.000925925925925926,0.787962962962963,0.000925925925925926,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE174507_pheno_harmonized.csv,TRUE,18,sample_id,clinical_group,18,18,18,0,0,0,0,18,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;sample_size_lt_30_or_unknown;target_genes_lt_7
