seurat_cluster,n_cells,predicted_cell_type,best_marker_score,second_best_cell_type,second_best_marker_score,score_margin,manual_cell_type_level1
0,7730,CD8_T_NK,1.16592283323924,T_NK,1.01461459473888,0.151308238500366,T/NK cell
1,6240,CD4_T,0.406268471624599,Erythroid,-0.0905895686642421,0.496858040288841,T/NK cell
10,1862,Monocyte,2.28958933123994,Classical_monocyte,2.16097033258444,0.128618998655491,Monocyte/Myeloid
11,1739,B_cell,0.533949525369057,Plasma,0.212996724080467,0.32095280128859,B/Plasma cell
12,1615,CD8_T_NK,1.90724385335753,T_NK,1.31917620698869,0.588067646368845,T/NK cell
13,1580,Monocyte,2.01738362798045,Classical_monocyte,1.71218721317791,0.305196414802538,Monocyte/Myeloid
14,912,Erythroid,6.46385871492863,Platelet,0.231392821000712,6.23246589392791,Erythroid
15,902,Monocyte,2.16884470220959,Classical_monocyte,2.11015851539633,0.0586861868132593,Monocyte/Myeloid
16,783,Monocyte,1.98902450067104,Classical_monocyte,1.95889777479767,0.0301267258733655,Monocyte/Myeloid
17,764,Nonclassical_monocyte,1.09887899503452,Monocyte,0.897460620799873,0.201418374234642,Monocyte/Myeloid
18,524,Dendritic_cell,0.717594949903791,Monocyte,0.250019448579387,0.467575501324404,Dendritic cell
19,440,Classical_monocyte,2.31968229714287,Monocyte,2.23364669621661,0.0860356009262557,Monocyte/Myeloid
2,5548,B_cell,1.34550413425052,Plasma,0.433071945097097,0.912432189153427,B/Plasma cell
20,422,Nonclassical_monocyte,1.32144679538925,Monocyte,0.872704428384104,0.448742367005151,Monocyte/Myeloid
21,317,B_cell,0.823677583514167,Plasma,0.319852817338299,0.503824766175868,B/Plasma cell
22,308,Platelet,1.59292390452022,CD8_T_NK,0.235481000687754,1.35744290383247,Platelet
23,236,Plasma,1.21673155478151,CD8_T_NK,-0.0395445532276488,1.25627610800916,B/Plasma cell
24,117,Plasma,-0.0420660972868584,Dendritic_cell,-0.161386521471181,0.119320424184322,B/Plasma cell
3,5161,CD4_T,0.515226799539542,T_NK,0.000954898911725804,0.514271900627817,T/NK cell
4,4948,Platelet,4.22150406821213,Erythroid,0.478005705726192,3.74349836248593,Platelet
5,4780,B_cell,0.995244257136944,Plasma,0.388950875822231,0.606293381314713,B/Plasma cell
6,3627,Monocyte,2.38971519970832,Classical_monocyte,2.04058508429425,0.349130115414066,Monocyte/Myeloid
7,3375,Monocyte,2.2651992148233,Classical_monocyte,2.01752632438629,0.247672890437011,Monocyte/Myeloid
8,3235,Monocyte,2.529522762072,Classical_monocyte,2.4325335683006,0.0969891937713943,Monocyte/Myeloid
9,2578,CD4_T,0.443683008833868,T_NK,-0.0392792294615126,0.48296223829538,T/NK cell
