item,value
n_datasets,6
n_total_samples_bulk,484
n_sepsis_bulk,333
n_control_bulk,151
nested_LODO_median_AUROC,0.907263492063493
nested_LODO_min_AUROC,0.568253968253968
nested_LODO_max_AUROC,1
nested_LODO_n_AUROC_ge_0.80,4
nested_LODO_n_AUROC_lt_0.80,2
pooled_nested_LODO_AUROC,0.721933854384186
pooled_nested_LODO_AUROC_low,0.669937062731109
pooled_nested_LODO_AUROC_high,0.773930646037262
pooled_nested_LODO_AUPRC,0.810013941773427
pooled_nested_LODO_Brier,0.333489146055543
pooled_mean_predicted,0.3961135280523
pooled_observed_rate,0.68801652892562
pooled_calibration_in_the_large,-0.29190300087332
pooled_fold_fixed_sensitivity,0.396396396396396
pooled_fold_fixed_specificity,0.814569536423841
median_abs_calibration_in_the_large,0.200323221032185
median_abs_threshold_shift,0.537339864601492
max_abs_threshold_shift,0.697171075242395
n_fixed_sensitivity_lt_0.20,2
n_fixed_specificity_lt_0.20,1
n_genes_selected_in_all_nested_LODO_folds,2
genes_selected_in_all_nested_LODO_folds,"CD177, TDRD9"
top_selected_genes,"CD177, TDRD9, LILRA6, RAB31, VNN1, ANKRD22, ARG1, C3AR1, RNASE3, WFDC1"
scRNA_n_cells,59743
scRNA_n_clusters,25
scRNA_n_celltype_level1,6
scRNA_n_final10_genes_present,10
scRNA_n_nested_recurrent_genes_present,10
scRNA_top_celltype_Final10,Monocyte/Myeloid
scRNA_top_celltype_NestedRecurrent,Monocyte/Myeloid
scRNA_top_celltype_Final10_mean_score,0.103198476090323
scRNA_top_celltype_NestedRecurrent_mean_score,0.0657113946691065
pooled_DCA_fraction_thresholds_clinically_preferable,0.276315789473684
