"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","significance"
"TDRD9",2.77020264723908,4.08246057041632,21.3998530632797,5.11117515710594e-72,4.36545470168418e-68,153.275505097829,"Up_in_Sepsis"
"VNN1",2.44147115405792,5.03149665889462,21.2734307723889,2.0600122415006e-71,8.79728227732833e-68,151.892052586346,"Up_in_Sepsis"
"CD177",3.87584554928468,5.48392405983282,21.1424126029017,8.73195993162773e-71,2.48598899253441e-67,150.458542799312,"Up_in_Sepsis"
"TP53I3",1.52113548879156,4.38585245496797,19.7674314255401,3.23889590488293e-64,6.91585248090127e-61,135.44381673555,"Up_in_Sepsis"
"DACH1",1.66884442136801,3.55632219547762,19.5377472997122,4.01888137526399e-63,6.86505316522594e-60,132.943892845295,"Up_in_Sepsis"
"MS4A4A",1.97298552375003,3.93778437689773,19.2186277193243,1.32198771489579e-61,1.88184951215416e-58,129.476119161613,"Up_in_Sepsis"
"S100A12",2.01259510068222,7.96248528804443,18.8026821711631,1.24079340626676e-59,1.51394521184634e-56,124.967489273052,"Up_in_Sepsis"
"GRB10",2.07194776774077,4.05555894556681,18.7388146378322,2.4889281004958e-59,2.65724186329183e-56,124.276468617095,"Up_in_Sepsis"
"S100A8",1.24880516498391,8.55822077687603,18.6985486519498,3.85946820703417e-59,3.66263532847542e-56,123.840993113613,"Up_in_Sepsis"
"RETN",2.93775303488657,5.39169588456612,18.4615127787201,5.08993260744762e-58,4.34731144002101e-55,121.280502575281,"Up_in_Sepsis"
"TCN1",2.47802732192581,5.4245916226157,18.3084574218473,2.68378745815818e-57,2.08383897092082e-54,119.630096835567,"Up_in_Sepsis"
"GPR84",2.63565303504576,5.07872613234504,18.1986743074813,8.83071847374206e-57,5.86451805407316e-54,118.447793944168,"Up_in_Sepsis"
"ANXA3",2.58678350044073,6.03617212628099,18.1976823869884,8.92620708382521e-57,5.86451805407316e-54,118.437117383362,"Up_in_Sepsis"
"BCL9L",-0.957641333292847,3.59913016948037,-18.1446912205986,1.58537741989935e-56,9.67193467382882e-54,117.866901306561,"Down_in_Sepsis"
"S100P",2.17525040045097,7.21626645908677,18.1003686862749,2.56262952039405e-56,1.45916124891237e-53,117.390202090412,"Up_in_Sepsis"
"IRAK3",1.90641732505035,5.58699652970437,17.9579375068222,1.1973481905975e-55,6.39159430993327e-53,115.859824091471,"Up_in_Sepsis"
"CA4",2.29741446838209,5.44662107351033,17.8297064119359,4.78763509009266e-55,2.40536419438126e-52,114.484050153882,"Up_in_Sepsis"
"OLFM4",3.71089843456121,4.65633157719835,17.5919421796058,6.22046637689537e-54,2.95161129583685e-51,111.938475868956,"Up_in_Sepsis"
"TNFAIP6",1.76402121273908,5.74094319234814,17.5146445674307,1.42957478109056e-53,6.42631484489184e-51,111.112475664484,"Up_in_Sepsis"
"ATP6V1C1",1.13217252226518,4.48460338222314,17.3814186447831,5.98752054254628e-53,2.55697064769439e-50,109.690718149446,"Up_in_Sepsis"
"NLRC4",1.46650230785803,4.40710205835813,17.339568288508,9.38488883176872e-53,3.81696835772079e-50,109.244606661856,"Up_in_Sepsis"
"ABLIM1",-1.10429041179508,4.02469466057955,-17.3313513410711,1.02503538726118e-52,3.97946692845352e-50,109.157045541268,"Down_in_Sepsis"
"BCL11B",-1.50969765197233,3.86297372539566,-17.3197122229654,1.16143956164639e-52,4.31298056348773e-50,109.033033561172,"Down_in_Sepsis"
"ANKRD22",2.679264439766,5.02246637479133,17.2712280428549,1.9539971414896e-52,6.9537873272761e-50,108.516653876437,"Up_in_Sepsis"
"CCPG1",1.17246560726343,4.7098384546461,17.136659673109,8.26442721205581e-52,2.82345891272675e-49,107.08522214203,"Up_in_Sepsis"
"RNASE2",1.98114516992144,6.22545444876756,17.1271511294066,9.15002333635791e-52,3.00578266599357e-49,106.984178882994,"Up_in_Sepsis"
"ARG1",2.96799600844903,5.03523237122624,17.0994100488601,1.23131509817624e-51,3.8950600938975e-49,106.689463657777,"Up_in_Sepsis"
"TLR5",1.5448299919184,5.71643182622417,17.076467366158,1.57388907471015e-51,4.80092378110691e-49,106.445813222414,"Up_in_Sepsis"
"DDAH2",1.34834604645495,4.81473522890978,17.0004541026488,3.54753586374083e-51,1.04481047628312e-48,105.639128735622,"Up_in_Sepsis"
"CARD6",1.07974462178156,4.54365019848967,16.9797249686545,4.42701956614306e-51,1.26037247048093e-48,105.419297074355,"Up_in_Sepsis"
"NELL2",-1.76456607150253,3.52227983652686,-16.9642244016007,5.22415691774258e-51,1.43933949143353e-48,105.254957881835,"Down_in_Sepsis"
"ST6GALNAC3",1.51536123367492,3.66349843830062,16.8019141352432,2.95092126229166e-50,7.87619328163532e-48,103.536408333506,"Up_in_Sepsis"
"LIN7A",1.22879366192071,4.22038447100206,16.7917475717656,3.28848195221227e-50,8.51118919813483e-48,103.428905475337,"Up_in_Sepsis"
"DRAM1",1.27096533846066,4.42118573429442,16.7836001468398,3.5866254449922e-50,9.00981409578775e-48,103.342765517973,"Up_in_Sepsis"
"CD3E",-1.45470487570844,3.89823817143595,-16.7186056993564,7.1644883577892e-50,1.74833985896793e-47,102.655993064983,"Down_in_Sepsis"
"UBE2C",1.24947384397009,3.6391082191596,16.6405342115852,1.6433933608218e-49,3.89895074854973e-47,101.831972833841,"Up_in_Sepsis"
"FYN",-1.10535090053121,4.77839945117735,-16.6163916858314,2.12396848796653e-49,4.79678413365712e-47,101.577364965761,"Down_in_Sepsis"
"KCNE1",1.5286260412343,3.41885286106715,16.6159415018623,2.13415053364911e-49,4.79678413365712e-47,101.572618256552,"Up_in_Sepsis"
"LILRA5",1.41125358802352,5.99725503214945,16.6099466265632,2.27447792893288e-49,4.981106664363e-47,101.509412007189,"Up_in_Sepsis"
"CLEC4D",1.94146316224271,5.27416007859711,16.5668215384148,3.59546894701708e-49,7.67722506911822e-47,101.054909972348,"Up_in_Sepsis"
"GADD45A",1.93239935362856,5.56106554617148,16.5633849327176,3.729045317243e-49,7.76823806209085e-47,101.018704869701,"Up_in_Sepsis"
"ATP8B4",1.50586744774706,4.44240132547108,16.5560462053154,4.03111205843057e-49,8.04848642373036e-47,100.9413972518,"Up_in_Sepsis"
"UPP1",1.17437279227313,5.71187727391977,16.5555582422746,4.05204210537882e-49,8.04848642373036e-47,100.936257283496,"Up_in_Sepsis"
"UBE2J1",1.07444430381883,5.53568286449604,16.5506485426669,4.26876581058527e-49,8.28625654277472e-47,100.884543169886,"Up_in_Sepsis"
"IL1R2",2.59760702850865,6.54736510312259,16.5040112747971,7.00097565798645e-49,1.32878517988583e-46,100.393520381156,"Up_in_Sepsis"
"LILRA6",1.05165146612825,5.39979931547934,16.4618980620831,1.09403256418839e-48,2.03133307189849e-46,99.950458220706,"Up_in_Sepsis"
