n,n_case,n_control,prevalence,AUROC,AUROC_low,AUROC_high,AUPRC,Brier,threshold,sensitivity,specificity,PPV,NPV,accuracy,TP,TN,FP,FN,set,validation_dataset,best_alpha,lambda_rule_used,n_refined_candidates,n_selected_genes,pool_used
427,290,137,0.679156908665105,0.894311603322426,0.863717803819651,0.924905402825202,0.948018019321311,0.120148996618996,0.587135604330135,0.868965517241379,0.802919708029197,0.903225806451613,0.743243243243243,0.847775175644028,252,110,27,38,training,GSE137340,1,lambda.1se,10,3,strict
329,208,121,0.632218844984802,0.962333121424031,0.938669332485372,0.985996910362689,0.964660151337417,0.0637770660998721,0.686803603302378,0.894230769230769,0.925619834710744,0.953846153846154,0.835820895522388,0.905775075987842,186,112,9,22,training,GSE236713,0.5,lambda.1se,47,10,strict
431,298,133,0.691415313225058,0.96084170156936,0.943437239628455,0.978246163510265,0.981477051344086,0.0715943732083883,0.775434477751213,0.838926174496644,0.977443609022556,0.988142292490119,0.730337078651685,0.881670533642691,250,130,3,48,training,GSE54514,0.75,lambda.1se,10,8,strict
431,305,126,0.707656612529002,0.938823835545147,0.914416444338769,0.963231226751525,0.970220927736539,0.0860849250177787,0.761642546212696,0.829508196721312,0.904761904761905,0.954716981132075,0.686746987951807,0.851508120649652,253,114,12,52,training,GSE57065,0.75,lambda.1se,10,10,strict
391,282,109,0.721227621483376,0.908940074175288,0.87665521604188,0.941224932308696,0.959467637454389,0.100729727001099,0.588487298393046,0.921985815602837,0.761467889908257,0.909090909090909,0.79047619047619,0.877237851662404,260,83,26,22,training,GSE65682,1,lambda.1se,10,4,strict
411,282,129,0.686131386861314,0.939029083512012,0.914554883237073,0.963503283786952,0.965766815571297,0.0876867963329366,0.841493509282162,0.75886524822695,0.953488372093023,0.972727272727273,0.643979057591623,0.819951338199513,214,123,6,68,training,GSE95233,0.5,lambda.1se,10,8,strict
57,43,14,0.754385964912281,0.725913621262459,0.56405040743931,0.887776835085607,0.868625885261514,0.169222193463247,0.587135604330135,0.837209302325582,0.285714285714286,0.782608695652174,0.363636363636364,0.701754385964912,36,4,10,7,validation,GSE137340,1,lambda.1se,10,3,strict
155,125,30,0.806451612903226,0.997066666666667,0.992745425329218,1,0.999305557330979,0.605523454351202,0.686803603302378,0.056,1,1,0.202702702702703,0.238709677419355,7,30,0,118,validation,GSE236713,0.5,lambda.1se,47,10,strict
53,35,18,0.660377358490566,0.568253968253968,0.411454525658166,0.72505341084977,0.768022411469746,0.320123987802081,0.775434477751213,1,0,0.660377358490566,0,0.660377358490566,35,0,18,0,validation,GSE54514,0.75,lambda.1se,10,8,strict
53,28,25,0.528301886792453,1,1,1,1,0.0533970744098201,0.761642546212696,0.75,1,1,0.78125,0.867924528301887,21,25,0,7,validation,GSE57065,0.75,lambda.1se,10,10,strict
93,51,42,0.548387096774194,0.817460317460318,0.729106299665155,0.90581433525548,0.810147164711609,0.390589638753618,0.588487298393046,0,1,0,0.451612903225806,0.451612903225806,0,42,0,51,validation,GSE65682,1,lambda.1se,10,4,strict
73,51,22,0.698630136986301,1,1,1,1,0.0244588155852517,0.841493509282162,0.647058823529412,1,1,0.55,0.753424657534247,33,22,0,18,validation,GSE95233,0.5,lambda.1se,10,8,strict
