validation_dataset,bin,mean_predicted,observed_rate,n_bin
GSE137340,1,0.546651359822987,0.583333333333333,12
GSE137340,2,0.62863747300197,0.454545454545455,11
GSE137340,3,0.711328224190079,0.909090909090909,11
GSE137340,4,0.811656819858808,0.909090909090909,11
GSE137340,5,0.928272311519136,0.916666666666667,12
GSE236713,1,6.16136033852657e-06,0.0967741935483871,31
GSE236713,2,0.00113674753287048,0.935483870967742,31
GSE236713,3,0.0164436142313147,1,31
GSE236713,4,0.118366234791034,1,31
GSE236713,5,0.533255863417297,1,31
GSE54514,1,0.874512995802864,0.818181818181818,11
GSE54514,2,0.956539612828282,0.4,10
GSE54514,3,0.983251272840625,0.454545454545455,11
GSE54514,4,0.996001874117356,0.7,10
GSE54514,5,0.999381559868039,0.909090909090909,11
GSE57065,1,0.00956548979384995,0,11
GSE57065,2,0.022163741548689,0,10
GSE57065,3,0.2904317066223,0.636363636363637,11
GSE57065,4,0.870892943638644,1,10
GSE57065,5,0.953565594656421,1,11
GSE65682,1,0.0126896209827814,0.157894736842105,19
GSE65682,2,0.0407835997102885,0.388888888888889,18
GSE65682,3,0.0834980496869609,0.578947368421053,19
GSE65682,4,0.147331862948635,0.722222222222222,18
GSE65682,5,0.318159460608313,0.894736842105263,19
GSE95233,1,0.0321319505704555,0,15
GSE95233,2,0.352703049568675,0.5,14
GSE95233,3,0.823276319038419,1,15
GSE95233,4,0.895651002447637,1,14
GSE95233,5,0.957734465627729,1,15
