validation_dataset,gene_symbol,selection_rank
GSE137340,LILRA6,1
GSE137340,TDRD9,2
GSE137340,CD177,3
GSE236713,CD177,1
GSE236713,RAB31,2
GSE236713,VNN1,3
GSE236713,LDHA,4
GSE236713,CD24,5
GSE236713,RNASE3,6
GSE236713,ANKRD22,7
GSE236713,TDRD9,8
GSE236713,C3AR1,9
GSE236713,LTF,10
GSE54514,TDRD9,1
GSE54514,ARG1,2
GSE54514,ELANE,3
GSE54514,SNX3,4
GSE54514,PSMA6,5
GSE54514,PCOLCE2,6
GSE54514,CD177,7
GSE54514,OLFM4,8
GSE57065,VNN1,1
GSE57065,ARG1,2
GSE57065,WFDC1,3
GSE57065,LILRA6,4
GSE57065,C3AR1,5
GSE57065,OLAH,6
GSE57065,C1QB,7
GSE57065,RAB31,8
GSE57065,TDRD9,9
GSE57065,CD177,10
GSE65682,LILRA6,1
GSE65682,TDRD9,2
GSE65682,CD177,3
GSE65682,ANKRD22,4
GSE95233,TDRD9,1
GSE95233,LILRA6,2
GSE95233,WFDC1,3
GSE95233,RAB31,4
GSE95233,VNN1,5
GSE95233,CD177,6
GSE95233,RETN,7
GSE95233,RNASE3,8
