gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,global_direction
TDRD9,2.32844522220637,6.03849700671884,17.7750979065519,5.4692942904717e-50,4.67132425349188e-46,102.951172052139,Up_in_Sepsis
VNN1,2.36192043951011,7.56476641894529,17.4499945809412,1.04832746387648e-48,4.4768824344845e-45,100.027997737397,Up_in_Sepsis
CD177,3.31475457790894,8.10753988141262,17.2943593409092,4.30782518584453e-48,1.22643783040994e-44,98.6290746044852,Up_in_Sepsis
TP53I3,1.47897527765112,6.49854792055015,16.9806855194006,7.42223362411906e-47,1.58483243459002e-43,95.8111687496794,Up_in_Sepsis
STOM,1.29880090727282,8.34657178554691,16.4608392228754,8.24637869959248e-45,1.40864640946439e-41,91.1479909917828,Up_in_Sepsis
DACH1,1.45157908637828,5.35409615427103,15.9123377904622,1.17088268189233e-42,1.66675149767373e-39,86.2417948634437,Up_in_Sepsis
TCN1,2.46713649677194,8.02303349191489,15.8870348908856,1.47096565129156e-42,1.79478823252589e-39,86.0159121891232,Up_in_Sepsis
OLFM4,3.5259615350425,7.0577994591763,15.8086002265977,2.98289185241689e-42,3.18460991393659e-39,85.3159977847055,Up_in_Sepsis
IL1R2,1.96798371895232,9.58186285529585,15.6357916888395,1.41385271680299e-41,1.34174622824604e-38,83.7755256539258,Up_in_Sepsis
GSTO1,1.09333756815059,9.69306768817782,15.5405163336582,3.33075035466772e-41,2.8447938779217e-38,82.9272047751567,Up_in_Sepsis
RAB13,1.03601442426364,6.59748560847619,15.4706486757867,6.24067326330586e-41,4.84559912199049e-38,82.3055870383156,Up_in_Sepsis
BCL9L,-0.71084868127712,5.23572863704863,-15.3342821501586,2.12290116860779e-40,1.51097490675659e-37,81.0935424092192,Down_in_Sepsis
RNASE2,1.93538254649909,9.2769357206231,15.3238363937553,2.33146109903308e-40,1.53176994206474e-37,81.0007678344685,Up_in_Sepsis
ACER3,1.26545959809318,6.20403584591996,15.2780355323057,3.51579884381181e-40,2.14488842321405e-37,80.5941038965145,Up_in_Sepsis
PCMT1,1.09234461791455,8.81860231779383,15.2114141055269,6.38797153366221e-40,3.63731099126726e-37,80.0029275255923,Up_in_Sepsis
ANKRD22,2.28910830625933,7.26014297610943,15.1768214256856,8.7086209629416e-40,4.64877072778026e-37,79.6961320552106,Up_in_Sepsis
LCN2,2.96528853940274,9.86122683064741,15.1144620420635,1.52207225329476e-39,7.64707006787678e-37,79.1433773133582,Up_in_Sepsis
ATP8B4,1.5549718315366,6.59269135742553,15.1003544473343,1.72690896904403e-39,8.19418305811393e-37,79.0183813689069,Up_in_Sepsis
CA4,1.72375198783698,8.2009408306535,15.0174637701246,3.62471752633385e-39,1.54928950216763e-36,78.2843664618825,Up_in_Sepsis
ADAM9,1.12579290716149,5.71645532538272,15.0173659843257,3.62788784022393e-39,1.54928950216763e-36,78.2835009691452,Up_in_Sepsis
UBE2F,1.00064195719765,7.89637652656197,14.9730513475978,5.39105962917026e-39,2.19262096632111e-36,77.8913804813582,Up_in_Sepsis
CD24,2.03380161001589,7.58810315230749,14.9650468622106,5.79076837301306e-39,2.24813421245021e-36,77.8205746711642,Up_in_Sepsis
GCLM,1.08234979568718,6.07923887343161,14.9229052753297,8.43762970178095e-39,3.03472455614399e-36,77.447914117862,Up_in_Sepsis
CDKN2C,0.920004863319326,5.20790735607549,14.9185201170407,8.77460229851336e-39,3.03472455614399e-36,77.4091470009761,Up_in_Sepsis
S100A12,1.98580935214598,11.8214199448055,14.9142812205399,9.11310351382865e-39,3.03472455614399e-36,77.3716749179243,Up_in_Sepsis
GSR,0.745769249485292,7.10338726740578,14.9127552639425,9.23812650272143e-39,3.03472455614399e-36,77.358185858436,Up_in_Sepsis
UPP1,1.21098228664701,8.38728586675279,14.9028858660405,1.00891451043131e-38,3.19153290133103e-36,77.2709491293443,Up_in_Sepsis
MS4A4A,1.64125468832595,5.88776536961247,14.7710432749799,3.27072623793675e-38,9.97688314222063e-36,76.1066245584408,Up_in_Sepsis
LTF,2.3110394084972,7.70776560626595,14.7120454127696,5.53266901070589e-38,1.6294664144979e-35,75.5862523734464,Up_in_Sepsis
BPI,2.21924082086209,6.90290478401216,14.6986976168731,6.23101535078387e-38,1.77397007036817e-35,75.468579399899,Up_in_Sepsis
GRB10,1.34022400830561,6.16290980615451,14.6486876333428,9.7251345004735e-38,2.67943141188852e-35,75.0278861449512,Up_in_Sepsis
MSRB3,0.590465737292449,4.68334578601951,14.5915328034708,1.6169333577994e-37,4.31569619030145e-35,74.5246052817704,Up_in_Sepsis
GGH,1.24620226183815,5.34458818192705,14.5761021848062,1.85469507137557e-37,4.80028806200568e-35,74.388799257875,Up_in_Sepsis
CLEC5A,1.7087087801019,5.82580353547315,14.5623431050576,2.09598370110591e-37,5.26523435033694e-35,74.267729717823,Up_in_Sepsis
ANXA3,2.17471682246262,9.05692154372645,14.45759631784,5.31384199756309e-37,1.29672927146247e-34,73.3468270905217,Up_in_Sepsis
GPR84,2.45957478208477,7.37837598579332,14.4231130079282,7.21572387909797e-37,1.71193049031599e-34,73.043971508083,Up_in_Sepsis
DDAH2,1.30600467167595,7.12421703841135,14.2395066988611,3.66930160353733e-36,8.29399810309904e-34,71.4341181129305,Up_in_Sepsis
METTL9,1.01355936678833,7.97327602708511,14.2388674923339,3.6901057009456e-36,8.29399810309904e-34,71.4285217235892,Up_in_Sepsis
GYG1,1.66190149113284,10.1643031647386,14.1742233786204,6.53472610061024e-36,1.43110501603364e-33,70.8628493224702,Up_in_Sepsis
CEACAM8,2.56735380984621,7.31368498377964,14.1602847674294,7.39108061694655e-36,1.57818048873351e-33,70.7409573526778,Up_in_Sepsis
PCOLCE2,2.05368649700886,5.10685917007295,14.1520688916381,7.94740636746282e-36,1.65558043376829e-33,70.6691234300177,Up_in_Sepsis
RGL4,1.86542140620171,9.48568248283283,14.1380652400286,8.9936498210522e-36,1.82892293146683e-33,70.5467078870061,Up_in_Sepsis
DHRS9,1.724164053174,8.11921340902939,14.11333030745,1.11885974250385e-35,2.22236768854078e-33,70.3305530541445,Up_in_Sepsis
UGCG,1.67198885764681,8.65673289227153,14.0581036050343,1.82132186709733e-35,3.5354341061087e-33,69.84826228481,Up_in_Sepsis
FYN,-1.07375553705919,7.04770245785968,-14.0378756492738,2.17692940691732e-35,4.13181201432907e-33,69.6717273217318,Down_in_Sepsis
SNX3,1.00252579441773,10.5040014316254,13.9402747938257,5.14282566100935e-35,9.53236658198756e-33,68.820815555511,Up_in_Sepsis
NLRP1,-0.788271235949623,5.42894845896099,-13.9380277924241,5.24553599523961e-35,9.53236658198756e-33,68.8012429174966,Down_in_Sepsis
RETN,2.56955219140596,7.96622928165958,13.9288614783275,5.68617352382766e-35,1.01178350139608e-32,68.7214073871397,Up_in_Sepsis
SAR1B,0.872340873907282,5.79697738398582,13.9082406851709,6.81717209658655e-35,1.18827483422338e-32,68.5418554169495,Up_in_Sepsis
NEDD4,0.98040007378241,4.91930065514944,13.8805862411159,8.69392159507989e-35,1.48509568687155e-32,68.301164659973,Up_in_Sepsis
ST6GALNAC3,1.36833234563942,5.40826415884651,13.8604516819973,1.03770973151866e-34,1.73785859154919e-32,68.1259999069981,Up_in_Sepsis
S100A8,1.00627381338147,12.6559446978723,13.847847960006,1.15924204216422e-34,1.90405505425473e-32,68.0163842885209,Up_in_Sepsis
NDUFAF1,0.986418187612111,6.47235230644225,13.8273867480141,1.38750485678337e-34,2.23597716637486e-32,67.8384859442125,Up_in_Sepsis
