gene_symbol,train_logFC,train_adjP,train_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,n_auc_ge_070,strict_pass,relaxed_pass,priority_score,heldout_dataset,selection_order_candidate_pool,pool_used
VNN1,2.36192043951011,4.4768824344845e-45,Up_in_Sepsis,5,5,1,0.887675634594923,0.878618113912232,0.73015873015873,5,TRUE,TRUE,0.871115475104182,GSE236713,1,strict
CD177,3.31475457790894,1.22643783040994e-44,Up_in_Sepsis,5,5,1,0.856758995070897,0.872082166199814,0.546031746031746,4,TRUE,TRUE,0.853726087410477,GSE236713,2,strict
TDRD9,2.32844522220637,4.67132425349188e-46,Up_in_Sepsis,5,5,1,0.880840126889375,0.927637721755369,0.619047619047619,4,TRUE,TRUE,0.851431308001495,GSE236713,3,strict
TCN1,2.46713649677194,1.79478823252589e-39,Up_in_Sepsis,5,5,1,0.872704492649773,0.877217553688142,0.623015873015873,4,TRUE,TRUE,0.850509829998817,GSE236713,4,strict
RNASE3,1.88724629029746,6.39827881698375e-31,Up_in_Sepsis,5,5,1,0.883488818219324,0.871615312791784,0.715873015873016,5,TRUE,TRUE,0.84460721685362,GSE236713,5,strict
ZDHHC19,2.39721292718173,1.25847916741549e-28,Up_in_Sepsis,5,5,1,0.85915405767663,0.907563025210084,0.565079365079365,4,TRUE,TRUE,0.829322999506085,GSE236713,6,strict
RETN,2.56955219140596,1.01178350139608e-32,Up_in_Sepsis,5,5,1,0.847500220102135,0.869747899159664,0.53015873015873,4,TRUE,TRUE,0.827798082476426,GSE236713,7,strict
ANKRD22,2.28910830625933,4.64877072778026e-37,Up_in_Sepsis,5,5,1,0.843912535556859,0.872093023255814,0.571428571428571,4,TRUE,TRUE,0.825553614303936,GSE236713,8,strict
CEACAM8,2.56735380984621,1.57818048873351e-33,Up_in_Sepsis,5,5,1,0.844871138589333,0.899626517273576,0.501587301587302,4,TRUE,TRUE,0.822922375737651,GSE236713,9,strict
TP53I3,1.47897527765112,1.58483243459002e-43,Up_in_Sepsis,5,5,1,0.877081189064773,0.881419234360411,0.628571428571429,4,TRUE,TRUE,0.821963314704724,GSE236713,10,strict
