gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
TDRD9,GSE137340,14,43,4.93534616642857,6.7997167887093,4.36161464675,6.3466674295,1.86437062228073,Up_in_Sepsis,0.87375415282392,7.34598051394299e-06,GSE236713
TDRD9,GSE54514,18,35,8.22346499241667,8.5398926803,8.05224168325,8.5265431405,0.316427687883333,Up_in_Sepsis,0.619047619047619,0.163232997664367,GSE236713
TDRD9,GSE57065,25,28,3.3303612,6.89073321428572,3.19424,7.142525,3.56037201428571,Up_in_Sepsis,0.99,9.95645531096197e-14,GSE236713
TDRD9,GSE65682,42,51,3.34773631371429,5.63320040717647,3.2782247165,5.797888853,2.28546409346219,Up_in_Sepsis,0.927637721755369,1.57574257046212e-12,GSE236713
TDRD9,GSE95233,22,51,4.25339464136364,7.46258520078431,4.28958474,7.5901051,3.20919055942068,Up_in_Sepsis,0.993761140819965,2.84841857067922e-11,GSE236713
VNN1,GSE137340,14,43,5.84198521592857,8.33127632462791,5.2407587655,8.28171284,2.48929110869934,Up_in_Sepsis,0.833887043189369,8.99233343862789e-05,GSE236713
VNN1,GSE54514,18,35,8.22397820144444,8.80589087351429,8.2312779425,8.825949669,0.581912672069842,Up_in_Sepsis,0.73015873015873,0.0066488422773127,GSE236713
VNN1,GSE57065,25,28,5.4584908,9.17175178571429,5.309355,9.329995,3.71326098571429,Up_in_Sepsis,0.995714285714286,1.54878193726075e-14,GSE236713
VNN1,GSE65682,42,51,5.20893270661429,6.76910780665098,5.2367840215,6.7483131382,1.56017510003669,Up_in_Sepsis,0.878618113912232,3.9231473659526e-10,GSE236713
VNN1,GSE95233,22,51,6.12347101727273,9.81471244029412,6.2628003225,9.948698,3.69124142302139,Up_in_Sepsis,1,1.60188706567253e-11,GSE236713
CD177,GSE137340,14,43,4.84320548114286,6.19967237805233,4.274549700375,5.93976807,1.35646689690947,Up_in_Sepsis,0.867109634551495,1.15818527714491e-05,GSE236713
CD177,GSE54514,18,35,8.04642282583333,8.34422796814286,7.585268259,7.933347225,0.297805142309523,Up_in_Sepsis,0.546031746031746,0.595788354333167,GSE236713
CD177,GSE57065,25,28,5.1301448,11.2849585714286,5.00765,11.48255,6.15481377142857,Up_in_Sepsis,0.998571428571429,4.42509124931643e-15,GSE236713
CD177,GSE65682,42,51,6.95467321429762,9.29277487376471,7.043244875,9.5986285285,2.33810165946709,Up_in_Sepsis,0.872082166199814,7.79851587115787e-10,GSE236713
CD177,GSE95233,22,51,5.19170742772727,11.2084004954902,5.25854487,11.39021861,6.01669306776292,Up_in_Sepsis,1,1.60188706567253e-11,GSE236713
TP53I3,GSE137340,14,43,4.59942489925,5.53219730161628,4.43879523875,5.3940422195,0.932772402366279,Up_in_Sepsis,0.875415282392027,6.53811501196993e-06,GSE236713
TP53I3,GSE54514,18,35,7.47757449413889,7.6071469375,7.44879531875,7.5213742255,0.129572443361112,Up_in_Sepsis,0.628571428571429,0.131496116104732,GSE236713
TP53I3,GSE57065,25,28,4.9611108,6.94046321428572,4.92601,7.14898,1.97935241428571,Up_in_Sepsis,1,2.21254562465821e-15,GSE236713
TP53I3,GSE65682,42,51,5.27538630388095,6.79615955807843,5.1149474575,6.764566771,1.52077325419748,Up_in_Sepsis,0.881419234360411,2.9123290933051e-10,GSE236713
TP53I3,GSE95233,22,51,5.83148782727273,8.2367748072549,5.86947041,8.24667048,2.40528697998217,Up_in_Sepsis,1,1.60188706567253e-11,GSE236713
STOM,GSE137340,14,43,8.23320589035714,9.38235874089535,7.85615944175,9.3587265825,1.14915285053821,Up_in_Sepsis,0.823920265780731,0.000155963210178198,GSE236713
STOM,GSE54514,18,35,9.72495530691667,10.0369861195143,9.7291828385,10.042113304,0.312030812597619,Up_in_Sepsis,0.663492063492063,0.0536371037869218,GSE236713
STOM,GSE57065,25,28,6.282628,8.006145,6.28381333333333,8.06557833333334,1.723517,Up_in_Sepsis,0.998571428571429,4.42509124931643e-15,GSE236713
STOM,GSE65682,42,51,7.13952911081429,8.53513391934118,7.084577163,8.744077645,1.39560480852689,Up_in_Sepsis,0.874883286647993,5.81758965299673e-10,GSE236713
STOM,GSE95233,22,51,6.85191532393939,8.50666960287582,6.85278244833333,8.49452273,1.65475427893642,Up_in_Sepsis,1,1.60188706567253e-11,GSE236713
DACH1,GSE137340,14,43,4.46732213919048,5.14534074217054,4.34262644933334,4.93249457133333,0.678018602980067,Up_in_Sepsis,0.895348837209303,1.47261484413906e-06,GSE236713
DACH1,GSE54514,18,35,7.62045986561111,7.60723197565714,7.54754503566667,7.53868643466667,-0.013227889953968,Down_in_Sepsis,0.484126984126984,0.859761640454994,GSE236713
DACH1,GSE57065,25,28,3.41800226666667,6.180005,3.40577333333333,6.26129333333333,2.76200273333333,Up_in_Sepsis,1,2.21254562465821e-15,GSE236713
DACH1,GSE65682,42,51,4.38821517494048,5.67649628627451,4.4631872035,5.7262053915,1.28828111133403,Up_in_Sepsis,0.837068160597573,2.54774905292748e-08,GSE236713
DACH1,GSE95233,22,51,3.1235810880303,5.35821073751634,3.08244476666667,5.30643560333333,2.23462964948604,Up_in_Sepsis,0.997326203208556,2.05178515500888e-11,GSE236713
TCN1,GSE137340,14,43,5.92217254121429,8.4238244502093,5.549934306,8.175739311,2.50165190899502,Up_in_Sepsis,0.870431893687708,9.24335675110831e-06,GSE236713
TCN1,GSE54514,18,35,9.37911383288889,9.8034695618,8.888700008,9.539639473,0.424355728911111,Up_in_Sepsis,0.623015873015873,0.148126164258606,GSE236713
