gene_order,gene,included_in_final_10_gene_signature,nested_lodo_occurrence_count,selected_folds,sepsis_direction,main_deg_logfc,used_in_final_bulk_model,used_in_single_cell_module_score,evidence_status,direction_source,nested_lodo_source_files
1,RAB31,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,0.744369145125778,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
2,VNN1,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,2.44147115405792,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
3,TCN1,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,2.47802732192581,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
4,EMILIN2,YES,3,GSE54514; GSE57065; GSE95233,Upregulated in sepsis,0.990096145822539,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
5,ZDHHC19,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,2.41256100967882,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
6,ANKRD22,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,2.679264439766,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
7,PGLYRP1,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,1.86175390369296,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
8,FAM20A,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,1.99754320410777,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
9,RNASE3,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,1.92926146407912,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
10,HK3,YES,6,GSE137340; GSE236713; GSE54514; GSE57065; GSE65682; GSE95233,Upregulated in sepsis,1.55728356755882,YES,YES,COMPLETE,limma_DEG_main_limma_DEG_Sepsis_vs_Control.csv,T14_fold_GSE137340_train_dataset_level_gene_metrics.csv | T14_fold_GSE236713_train_dataset_level_gene_metrics.csv | T14_fold_GSE54514_train_dataset_level_gene_metrics.csv | T14_fold_GSE57065_train_dataset_level_gene_metrics.csv | T14_fold_GSE65682_train_dataset_level_gene_metrics.csv | T14_fold_GSE95233_train_dataset_level_gene_metrics.csv
