seurat_cluster,n_cells,Healthy,Sepsis_nonsurvivor,Sepsis_survivor
0,7730,2633,2230,2867
1,6240,158,3045,3037
10,1862,7,1389,466
11,1739,12,1559,168
12,1615,6,14,1595
13,1580,0,0,1580
14,912,1,735,176
15,902,0,885,17
16,783,2,769,12
17,764,0,747,17
18,524,344,5,175
19,440,2,255,183
2,5548,3797,269,1482
20,422,417,0,5
21,317,252,8,57
22,308,53,226,29
23,236,39,73,124
24,117,20,73,24
3,5161,3103,113,1945
4,4948,216,4042,690
5,4780,3,2,4775
6,3627,1,53,3573
7,3375,3357,4,14
8,3235,0,6,3229
9,2578,1318,204,1056
