gene_symbol,detected_in_any_preview,file_hits
RAB31,TRUE,T16a_gene_detection_summary.csv
VNN1,TRUE,T16a_gene_detection_summary.csv; T03_QC_top50_DEG_heatmap_genes.csv
TCN1,TRUE,T16a_gene_detection_summary.csv; T03_QC_top50_DEG_heatmap_genes.csv
EMILIN2,TRUE,T16a_gene_detection_summary.csv
ZDHHC19,TRUE,T16a_gene_detection_summary.csv
ANKRD22,TRUE,T16a_gene_detection_summary.csv; T03_QC_top50_DEG_heatmap_genes.csv
PGLYRP1,TRUE,T16a_gene_detection_summary.csv
FAM20A,TRUE,T16a_gene_detection_summary.csv
RNASE3,TRUE,T16a_gene_detection_summary.csv
HK3,TRUE,T16a_gene_detection_summary.csv; GSE26378_SepSMART_expr.csv; GSE28750_SepSMART_expr.csv; GSE65682_SepSMART_expr.csv; F0_GSE65682_single_platform_SepSMART_gene_presence.csv; GSE65682_abdo_final_glm_model_coefficients.csv; GSE65682_mortality_final_glm_model_coefficients.csv; S6_initial_probe_manifest_clean.csv; S6_initial_probe_manifest_from_eset.csv; Supplementary_Table_S2_PanelA_locked_coefficients.csv; Supplementary_Table_S2_PanelB_training_standardization.csv; T0_GSE65682_SepSMART_gene_presence_aligned.csv; T14_GSE65682_dx_model_coefficients.csv; T15_GSE65682_dx_scaling_params.csv; T3_GSE65682_abdo_model_coefficients.csv; T4_GSE65682_abdo_scaling_params.csv; T7_GSE65682_mortality_model_coefficients.csv; T8_GSE65682_mortality_scaling_params.csv
CD177,TRUE,T16a_gene_detection_summary.csv; T03_QC_top50_DEG_heatmap_genes.csv
TDRD9,TRUE,T16a_gene_detection_summary.csv; T03_QC_top50_DEG_heatmap_genes.csv
LILRA6,TRUE,T16a_gene_detection_summary.csv; T03_QC_top50_DEG_heatmap_genes.csv
ARG1,TRUE,T16a_gene_detection_summary.csv; T03_QC_top50_DEG_heatmap_genes.csv
C3AR1,TRUE,T16a_gene_detection_summary.csv
WFDC1,TRUE,T16a_gene_detection_summary.csv
