gsm_guess,file_class,n_files
GSM5102900,barcodes_tsv,1
GSM5102901,barcodes_tsv,1
GSM5102902,barcodes_tsv,1
GSM5102903,barcodes_tsv,1
GSM5102904,barcodes_tsv,1
GSM5102905,barcodes_tsv,1
GSM5511351,barcodes_tsv,1
GSM5511352,barcodes_tsv,1
GSM5511353,barcodes_tsv,1
GSM5511354,barcodes_tsv,1
GSM5511355,barcodes_tsv,1
GSM5511356,barcodes_tsv,1
GSM5102900,features_or_genes_tsv,1
GSM5102901,features_or_genes_tsv,1
GSM5102902,features_or_genes_tsv,1
GSM5102903,features_or_genes_tsv,1
GSM5102904,features_or_genes_tsv,1
GSM5102905,features_or_genes_tsv,1
GSM5511351,features_or_genes_tsv,1
GSM5511352,features_or_genes_tsv,1
GSM5511353,features_or_genes_tsv,1
GSM5511354,features_or_genes_tsv,1
GSM5511355,features_or_genes_tsv,1
GSM5511356,features_or_genes_tsv,1
GSM5102900,matrix_mtx,1
GSM5102901,matrix_mtx,1
GSM5102902,matrix_mtx,1
GSM5102903,matrix_mtx,1
GSM5102904,matrix_mtx,1
GSM5102905,matrix_mtx,1
GSM5511351,matrix_mtx,1
GSM5511352,matrix_mtx,1
GSM5511353,matrix_mtx,1
GSM5511354,matrix_mtx,1
GSM5511355,matrix_mtx,1
GSM5511356,matrix_mtx,1
