marker_set,gene_symbol
T_NK,CD3D
T_NK,CD3E
T_NK,TRAC
T_NK,NKG7
T_NK,GNLY
T_NK,KLRD1
CD4_T,IL7R
CD4_T,CCR7
CD4_T,LTB
CD4_T,CD4
CD8_T_NK,CD8A
CD8_T_NK,CD8B
CD8_T_NK,NKG7
CD8_T_NK,GNLY
CD8_T_NK,GZMB
CD8_T_NK,PRF1
B_cell,MS4A1
B_cell,CD79A
B_cell,CD79B
B_cell,BANK1
B_cell,CD74
Plasma,MZB1
Plasma,XBP1
Plasma,JCHAIN
Plasma,IGHG1
Plasma,IGKC
Monocyte,LYZ
Monocyte,S100A8
Monocyte,S100A9
Monocyte,LST1
Monocyte,FCN1
Monocyte,CTSS
Classical_monocyte,S100A8
Classical_monocyte,S100A9
Classical_monocyte,FCN1
Classical_monocyte,VCAN
Classical_monocyte,LYZ
Nonclassical_monocyte,FCGR3A
Nonclassical_monocyte,MS4A7
Nonclassical_monocyte,LST1
Nonclassical_monocyte,AIF1
Nonclassical_monocyte,LILRB1
Dendritic_cell,FCER1A
Dendritic_cell,CST3
Dendritic_cell,CLEC10A
Dendritic_cell,LILRA4
Dendritic_cell,GZMB
Platelet,PPBP
Platelet,PF4
Platelet,NRGN
Platelet,GP9
Erythroid,HBB
Erythroid,HBA1
Erythroid,HBA2
Erythroid,ALAS2
