seurat_cluster,score_name,n_cells,mean_score,median_score
2,T_NK_score,5548,-0.580738619672954,-0.587179429831724
18,T_NK_score,524,-0.703775161543114,-0.755147302571282
3,T_NK_score,5161,0.000954898911725804,-0.00223696903552562
0,T_NK_score,7730,1.01461459473888,1.06071945226044
9,T_NK_score,2578,-0.0392792294615126,-0.0360671860295588
7,T_NK_score,3375,-0.61367295330931,-0.677299421546594
1,T_NK_score,6240,-0.251750408568831,-0.268761577441994
10,T_NK_score,1862,-0.219664592696013,-0.264165566131757
4,T_NK_score,4948,-0.390304705042368,-0.396012260294619
20,T_NK_score,422,-0.662822109160108,-0.723378876876098
21,T_NK_score,317,0.291820272272733,0.162931835187268
22,T_NK_score,308,0.138016646968375,-0.0875993226191225
11,T_NK_score,1739,-0.551325211360171,-0.575064649159378
24,T_NK_score,117,-0.627738857244786,-0.664755815843837
5,T_NK_score,4780,-0.60025188745398,-0.611827655505435
23,T_NK_score,236,-0.134593466185642,-0.387497112914206
12,T_NK_score,1615,1.31917620698869,1.31673960254653
19,T_NK_score,440,-0.384548839520038,-0.39419653378043
16,T_NK_score,783,-0.489596263620678,-0.473392985116174
6,T_NK_score,3627,-0.428073791428133,-0.4365811297485
14,T_NK_score,912,-0.083209397255613,-0.0916316494097357
15,T_NK_score,902,-0.484778618899906,-0.490799782814086
17,T_NK_score,764,-0.665628094378682,-0.717277644754384
8,T_NK_score,3235,-0.407600476210484,-0.415992214585478
13,T_NK_score,1580,-0.457600044475304,-0.51024352168405
2,CD4_T_score,5548,-0.0352764875110658,-0.0346265393612771
18,CD4_T_score,524,-0.39962882738745,-0.4726293316544
3,CD4_T_score,5161,0.515226799539542,0.53211328077233
0,CD4_T_score,7730,-0.383973650844632,-0.549813665845875
9,CD4_T_score,2578,0.443683008833868,0.457349606494045
7,CD4_T_score,3375,-0.414532139648683,-0.464720505844319
1,CD4_T_score,6240,0.406268471624599,0.40845323207334
10,CD4_T_score,1862,-0.283776437112018,-0.323111478519365
4,CD4_T_score,4948,-0.397979527134959,-0.390666445877021
20,CD4_T_score,422,-0.427455849251935,-0.462528947378856
21,CD4_T_score,317,0.0995424364328818,0.136765156769028
22,CD4_T_score,308,-0.124608330248615,-0.191130490545279
11,CD4_T_score,1739,-0.270029476429952,-0.297524730224078
24,CD4_T_score,117,-0.570499393868533,-0.615735120575872
5,CD4_T_score,4780,0.0372000904213262,0.0367213850451631
23,CD4_T_score,236,-0.53883547934593,-0.574761978680622
12,CD4_T_score,1615,-0.474340587148905,-0.591356376986466
19,CD4_T_score,440,-0.714615627163018,-0.738880203809102
16,CD4_T_score,783,-0.651127090691045,-0.677284510722546
6,CD4_T_score,3627,-0.548917003639332,-0.592328625973191
14,CD4_T_score,912,-0.075931567693458,-0.063437148024555
15,CD4_T_score,902,-0.631355454568549,-0.661329546745878
17,CD4_T_score,764,-0.594636899233175,-0.632008771661418
8,CD4_T_score,3235,-0.633879689694784,-0.669975995507872
13,CD4_T_score,1580,-0.631438951447568,-0.672778688116858
2,CD8_T_NK_score,5548,-0.418242131358732,-0.426713187288308
18,CD8_T_NK_score,524,-0.393017952292209,-0.526071241299072
3,CD8_T_NK_score,5161,-0.425572226030003,-0.454339439159476
0,CD8_T_NK_score,7730,1.16592283323924,1.25693323448919
9,CD8_T_NK_score,2578,-0.0615399498285496,-0.0696477521744157
7,CD8_T_NK_score,3375,-0.482283914226545,-0.531104697484878
1,CD8_T_NK_score,6240,-0.415636942055415,-0.431775943428442
10,CD8_T_NK_score,1862,-0.146800494338679,-0.20508761289138
4,CD8_T_NK_score,4948,-0.24828071857733,-0.267607325717331
20,CD8_T_NK_score,422,-0.503856793422932,-0.557862363339351
21,CD8_T_NK_score,317,0.214747362104041,0.0268235486900776
22,CD8_T_NK_score,308,0.235481000687754,-0.31340408864115
11,CD8_T_NK_score,1739,-0.407596539675315,-0.425742994451758
24,CD8_T_NK_score,117,-0.43875427684119,-0.477400161952625
5,CD8_T_NK_score,4780,-0.427207376774156,-0.438032691550397
23,CD8_T_NK_score,236,-0.0395445532276488,-0.373974487228928
12,CD8_T_NK_score,1615,1.90724385335753,1.98659355397046
19,CD8_T_NK_score,440,-0.177102838435663,-0.183996979920369
16,CD8_T_NK_score,783,-0.27512752165911,-0.250329408454971
6,CD8_T_NK_score,3627,-0.248114142712016,-0.251091066781668
14,CD8_T_NK_score,912,-0.0377246246165839,-0.0571720803533248
15,CD8_T_NK_score,902,-0.300044398640551,-0.30216169576144
