gene_set,gene_symbol
Final10,RAB31
Final10,VNN1
Final10,TCN1
Final10,EMILIN2
Final10,ZDHHC19
Final10,ANKRD22
Final10,PGLYRP1
Final10,FAM20A
Final10,RNASE3
Final10,HK3
NestedRecurrent,CD177
NestedRecurrent,TDRD9
NestedRecurrent,LILRA6
NestedRecurrent,RAB31
NestedRecurrent,VNN1
NestedRecurrent,ANKRD22
NestedRecurrent,ARG1
NestedRecurrent,C3AR1
NestedRecurrent,RNASE3
NestedRecurrent,WFDC1
MyeloidInnateUp,CD177
MyeloidInnateUp,VNN1
MyeloidInnateUp,ARG1
MyeloidInnateUp,C3AR1
MyeloidInnateUp,RNASE3
MyeloidInnateUp,LILRA6
MyeloidInnateUp,PGLYRP1
MyeloidInnateUp,TCN1
MyeloidInnateUp,ANKRD22
MyeloidInnateUp,FAM20A
AdaptiveOrNonmyeloid,RAB31
AdaptiveOrNonmyeloid,EMILIN2
AdaptiveOrNonmyeloid,ZDHHC19
AdaptiveOrNonmyeloid,TDRD9
AdaptiveOrNonmyeloid,WFDC1
AdaptiveOrNonmyeloid,HK3
