cell_type_level1,score_name,n_cells,mean_score,median_score
B/Plasma cell,Final10_score,12737,-0.0862435033084135,-0.107028135090729
Dendritic cell,Final10_score,524,0.00558429130004686,0.00499985399667893
T/NK cell,Final10_score,23324,-0.125562653940511,-0.126852382666505
Monocyte/Myeloid,Final10_score,16990,0.103198476090323,0.0858701999085162
Platelet,Final10_score,5256,-0.0535593887116548,-0.0675848614262838
Erythroid,Final10_score,912,-0.0256322277226366,-0.0201801992318973
B/Plasma cell,NestedRecurrent_score,12737,-0.104582083776647,-0.120184551855574
Dendritic cell,NestedRecurrent_score,524,-0.0464673352437115,-0.0445526564802737
T/NK cell,NestedRecurrent_score,23324,-0.138613140303159,-0.138430748554688
Monocyte/Myeloid,NestedRecurrent_score,16990,0.0657113946691065,0.0329620521362292
Platelet,NestedRecurrent_score,5256,-0.00218356903827971,-0.0676264941140637
Erythroid,NestedRecurrent_score,912,-0.0190825884005591,-0.0164080956539428
B/Plasma cell,MyeloidInnateUp_score,12737,-0.0325015536522417,-0.0316992980971471
Dendritic cell,MyeloidInnateUp_score,524,-0.0293681770104029,-0.0446174314984819
T/NK cell,MyeloidInnateUp_score,23324,-0.033215262557573,-0.0326082745824001
Monocyte/Myeloid,MyeloidInnateUp_score,16990,0.0741198244065684,0.0238362901103626
Platelet,MyeloidInnateUp_score,5256,-0.0266139479209627,-0.0251180263112089
Erythroid,MyeloidInnateUp_score,912,-0.00315813483104675,-0.00481852740756441
B/Plasma cell,AdaptiveOrNonmyeloid_score,12737,-0.144214673320943,-0.178268962966162
Dendritic cell,AdaptiveOrNonmyeloid_score,524,-0.0154855360090332,-0.01484511144975
T/NK cell,AdaptiveOrNonmyeloid_score,23324,-0.188459415612491,-0.189654609191657
Monocyte/Myeloid,AdaptiveOrNonmyeloid_score,16990,0.135557256460823,0.115358430680163
Platelet,AdaptiveOrNonmyeloid_score,5256,0.0384790650510944,-0.082997814197169
Erythroid,AdaptiveOrNonmyeloid_score,912,-0.0425806889248892,-0.0383619402127208
