seurat_cluster,score_name,n_cells,mean_score,median_score
2,Final10_score,5548,-0.091071276554953,-0.10611188746588
18,Final10_score,524,0.00558429130004686,0.00499985399667893
3,Final10_score,5161,-0.125823182802275,-0.126142995134377
0,Final10_score,7730,-0.13030662183884,-0.133172996053754
9,Final10_score,2578,-0.12216767932817,-0.123344019136812
7,Final10_score,3375,0.0140309858179649,0.00986877614079923
1,Final10_score,6240,-0.117801701252894,-0.120244317134963
10,Final10_score,1862,0.333121357756843,0.337624817588803
4,Final10_score,4948,-0.050030352808235,-0.0656682693867382
20,Final10_score,422,-0.0057080071958222,-0.010505463536965
21,Final10_score,317,-0.125710011135779,-0.136659848258717
22,Final10_score,308,-0.110253121341919,-0.123460644926925
11,Final10_score,1739,-0.0601363278927299,-0.0954202688444688
24,Final10_score,117,-0.12404944296069,-0.135901344401666
5,Final10_score,4780,-0.0837171428947205,-0.10941066770358
23,Final10_score,236,-0.144538914041181,-0.159534457740141
12,Final10_score,1615,-0.137429606269741,-0.142417443846888
19,Final10_score,440,0.0911255714489481,0.0915877401083186
16,Final10_score,783,0.130997502819536,0.126142860758532
6,Final10_score,3627,0.0700798188200464,0.0685175141243965
14,Final10_score,912,-0.0256322277226366,-0.0201801992318973
15,Final10_score,902,0.114189984707393,0.108017219187987
17,Final10_score,764,0.107108678410484,0.10456703294008
8,Final10_score,3235,0.0882874180890923,0.0862582743045836
13,Final10_score,1580,0.139771107276525,0.141237702211429
2,NestedRecurrent_score,5548,-0.109184621506287,-0.117599148791247
18,NestedRecurrent_score,524,-0.0464673352437115,-0.0445526564802737
3,NestedRecurrent_score,5161,-0.138676182889949,-0.137363919048799
0,NestedRecurrent_score,7730,-0.1487911428968,-0.151269928493341
9,NestedRecurrent_score,2578,-0.13098366449217,-0.131328364049167
7,NestedRecurrent_score,3375,-0.02996421273478,-0.0347901892791683
1,NestedRecurrent_score,6240,-0.124346658358231,-0.126184277964223
10,NestedRecurrent_score,1862,0.394128216841802,0.431346886670153
4,NestedRecurrent_score,4948,0.00498382298793136,-0.0538827821753279
20,NestedRecurrent_score,422,-0.0388333620157392,-0.0453591353060297
21,NestedRecurrent_score,317,-0.144288818127494,-0.149880910401894
22,NestedRecurrent_score,308,-0.117327256524294,-0.134681231992154
11,NestedRecurrent_score,1739,-0.0795372328174442,-0.110452409167489
24,NestedRecurrent_score,117,-0.137113474870506,-0.150306831575704
5,NestedRecurrent_score,4780,-0.101598959541146,-0.12470928143917
23,NestedRecurrent_score,236,-0.171888197304195,-0.184914875572421
12,NestedRecurrent_score,1615,-0.156997235125338,-0.162262787731154
19,NestedRecurrent_score,440,0.00902750695030013,0.000868299597297159
16,NestedRecurrent_score,783,0.0706054478045252,0.0643424107319922
6,NestedRecurrent_score,3627,0.028522981422548,0.0266238585073102
14,NestedRecurrent_score,912,-0.0190825884005591,-0.0164080956539428
15,NestedRecurrent_score,902,0.0564470645010357,0.0555422221387028
17,NestedRecurrent_score,764,0.0712285484978272,0.0705950671065959
8,NestedRecurrent_score,3235,0.0155688989168438,0.010221473391573
13,NestedRecurrent_score,1580,0.114986379039423,0.111952978098322
2,MyeloidInnateUp_score,5548,-0.0303868391679225,-0.0298846794638552
18,MyeloidInnateUp_score,524,-0.0293681770104029,-0.0446174314984819
3,MyeloidInnateUp_score,5161,-0.0307807196281374,-0.029818459075378
0,MyeloidInnateUp_score,7730,-0.0374704127881162,-0.0374664490595006
9,MyeloidInnateUp_score,2578,-0.0297136001659089,-0.0291856362041562
7,MyeloidInnateUp_score,3375,-0.016015934854865,-0.034100590117816
1,MyeloidInnateUp_score,6240,-0.0296681674854612,-0.0299125144752849
10,MyeloidInnateUp_score,1862,0.375609966434793,0.365974528762603
