clinical_group_scRNA,outcome_group,timepoint,score_name,n_cells,mean_score,median_score
Healthy,Healthy,Healthy,Final10_score,15741,-0.080732574508723,-0.113360330863038
Sepsis_nonsurvivor,Non_survivor,T0,Final10_score,6990,-0.00585029977386182,-0.0707911866990696
Sepsis_nonsurvivor,Non_survivor,T6,Final10_score,9716,-0.018531676225434,-0.0850473448987235
Sepsis_survivor,Survivor,T0,Final10_score,12194,-0.0453287402186826,-0.105063090991728
Sepsis_survivor,Survivor,T6,Final10_score,15102,-0.0351758593755406,-0.10403057614428
Healthy,Healthy,Healthy,NestedRecurrent_score,15741,-0.102970853188487,-0.124391351479794
Sepsis_nonsurvivor,Non_survivor,T0,NestedRecurrent_score,6990,0.00919816811629907,-0.0828472178175589
Sepsis_nonsurvivor,Non_survivor,T6,NestedRecurrent_score,9716,-0.0157875949835975,-0.0960788012161986
Sepsis_survivor,Survivor,T0,NestedRecurrent_score,12194,-0.0700117429607608,-0.118531393555227
Sepsis_survivor,Survivor,T6,NestedRecurrent_score,15102,-0.0621230871267996,-0.120270722122242
Healthy,Healthy,Healthy,MyeloidInnateUp_score,15741,-0.0261519223371154,-0.0299188848821479
Sepsis_nonsurvivor,Non_survivor,T0,MyeloidInnateUp_score,6990,0.0260163985812346,-0.0261186175433348
Sepsis_nonsurvivor,Non_survivor,T6,MyeloidInnateUp_score,9716,0.0141893258974546,-0.0242386645291401
Sepsis_survivor,Survivor,T0,MyeloidInnateUp_score,12194,-0.0128989858254835,-0.0314767419222036
Sepsis_survivor,Survivor,T6,MyeloidInnateUp_score,15102,0.0107064108115611,-0.0295969277956483
Healthy,Healthy,Healthy,AdaptiveOrNonmyeloid_score,15741,-0.125345366188654,-0.177019684658737
Sepsis_nonsurvivor,Non_survivor,T0,AdaptiveOrNonmyeloid_score,6990,0.0292378525485684,-0.0997926513463614
Sepsis_nonsurvivor,Non_survivor,T6,AdaptiveOrNonmyeloid_score,9716,0.00485876549850605,-0.123349738289762
Sepsis_survivor,Survivor,T0,AdaptiveOrNonmyeloid_score,12194,-0.0730348751414146,-0.161565845094319
Sepsis_survivor,Survivor,T6,AdaptiveOrNonmyeloid_score,15102,-0.0769438245313777,-0.161320149629974
